ID,Kingdom,Phylum,Class,Order,Family Latin,Genum Latin,Species Name English,Species Name Latin,Subspecies Name Latin,Target kind,Breed,FCI classification,Pure breed,Second breed,Number of dogs,Continent,Country,Country Specification,Ref_Abbreviation,Type of source,Year,Human comparison
1021,Animalia,Arthropoda,Arachnida,Sarcopti,Sarcoptidae,Sarcoptes,Itch mite,Sarcoptes scabiei,,living individuals,Bavarian Mountain Scent Hound,Scenthounds,TRUE,,2,Europe,Italy,Dolomite Alps,Alasaad et al. 2012,scientific paper,2012,No comparison
788,Animalia,Arthropoda,Insecta,Blattodea,Isoptera,,,,,living individuals,Beagle,Scenthounds,TRUE,,1,North America,USA,,Brandon Pest Control 2016,popular science webpage,2016,Dogs are better
1832,Animalia,Arthropoda,Insecta,Blattodea,Isoptera,,,,,living individuals,Beagle,Scenthounds,TRUE,,2,North America,USA,,Myers 1988,newspaper,1988,No comparison
629,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
628,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
822,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
821,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
631,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
630,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
823,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
824,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
633,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
632,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
825,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
826,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
1722,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals and nests,Beagle,Scenthounds,TRUE,,6,North America,USA,California,Caruba 1981,popular science magazine,1981,No comparison
1757,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals and nests,Australian Cattle Dog,Sheepdogs and Cattledogs,FALSE,,2,North America,USA,Texas,Fincannon 1995,popular science webpage,1995,No comparison
1115,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals,Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,1,Oceania,Australia,,Myrmecia 2018,scientific paper,2018,No comparison
359,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals,Beagle,Scenthounds,TRUE,,1,Oceania,Australia,,Zahid et al. 2012,scientific paper,2012,Dogs are better
495,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,No comparison
494,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,No comparison
624,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
625,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
827,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003a,popular science magazine,2003,Dogs are better
828,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003a,popular science magazine,2003,Dogs are better
817,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
818,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
366,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Western subterranean termite,Reticulitermes hesperus,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Lewis et al. 1997,scientific paper,1997,No comparison
627,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Dark southern termites,Reticulitermes virginicus,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
626,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Dark southern termites,Reticulitermes virginicus,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
819,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Dark southern termites,Reticulitermes virginicus,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
820,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Dark southern termites,Reticulitermes virginicus,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
356,Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,Lyctus,Brown Lyctus beetles,Lyctus brunneus,,living individuals,Beagle,Scenthounds,TRUE,,1,Oceania,Australia,,Zahid et al. 2012,scientific paper,2012,Dogs are better
357,Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,Lyctus,Lyctine beetles,Lyctus discedens,,living individuals,Beagle,Scenthounds,TRUE,,1,Oceania,Australia,,Zahid et al. 2012,scientific paper,2012,Dogs are better
358,Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,Minthea,Hairy powderpost beetle,Minthea rugicollis,,living individuals,Beagle,Scenthounds,TRUE,,1,Oceania,Australia,,Zahid et al. 2012,scientific paper,2012,Dogs are better
270,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Emerald ash borer,Agrilus planipennis,,living individuals,Malinois,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Mohr 2012,newspaper,2012,Dogs are better
268,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Emerald ash borer,Agrilus planipennis,,living individuals,Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,2,North America,USA,,Mohr 2012,newspaper,2012,Dogs are better
269,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Emerald ash borer,Agrilus planipennis,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Mohr 2012,newspaper,2012,Dogs are better
371,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,2,Europe,Switzerland,,Hagemeier 2016,popular science webpage,2016,Dogs are better
369,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",Australian Cattle Dog,Sheepdogs and Cattledogs,TRUE,,2,Europe,Switzerland,,Holderegger Walser 2015,popular science magazine,2015,Dogs are better
2347,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,6,Europe,Austria,Vienna,Hoyer-Tomiczek&Hoch 2020,scientific paper,2020,No comparison
365,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,3,Europe,Austria,,Hoyer-Tomiczek&Sauseng 2010a,popular science magazine,2010,Dogs are better
410,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",Hound undetermined,Scenthounds,FALSE,,3,Europe,Austria,,Hoyer-Tomiczek&Sauseng 2010b,popular science magazine,2010,Dogs are better
1149,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",French Spaniel,Pointers and Setters,TRUE,,1,Europe,Germany,,LV Schleswig-Holstein BdB 2013,popular science magazine,2013,No comparison
1147,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",Beagle,Scenthounds,TRUE,,1,Europe,Germany,,LV Schleswig-Holstein BdB 2013,popular science magazine,2013,No comparison
2376,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Citrus longhorn beetle,Anoplophora chinensis,,"living individuals, eggs and scat/saliva",Australian Cattle Dog,Sheepdogs and Cattledogs,TRUE,,3,Europe,Switzerland,Airsdorf,Spielmann 2020,newspaper,2020,No comparison
1051,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,1,Europe,Switzerland,,Bachmann&Dorner 2016,popular science magazine,2016,No comparison
1052,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",White Swiss Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,Europe,Austria,,Balai 2017,popular science magazine,2017,No comparison
1053,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Jack Russel Terrier,Terriers,FALSE,,1,Europe,Austria,,Balai 2017,popular science magazine,2017,No comparison
1948,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Malinois,Sheepdogs and Cattledogs,TRUE,,1,Europe,Italy,,Boratto 2019,newspaper,2019,No comparison
1950,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Louisiana Catahoula Leopard Dog,not classified,TRUE,,1,Europe,Italy,,Boratto 2019,newspaper,2019,No comparison
1949,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Chesapeake Bay Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,1,Europe,Italy,,Boratto 2019,newspaper,2019,No comparison
1951,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Malinois,Sheepdogs and Cattledogs,FALSE,103,1,Europe,Italy,,Boratto 2019,newspaper,2019,No comparison
1084,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Dutch Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,Europe,France,,Bozec 2017,newspaper,2017,No comparison
1086,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Australian Cattle Dog,Sheepdogs and Cattledogs,TRUE,,1,Europe,France,,Bozec 2017,newspaper,2017,No comparison
1085,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,1,Europe,France,,Bozec 2017,newspaper,2017,No comparison
1673,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",FALSE,,2,Europe,France,Centre-Val de Loire,DRAAF  2017,newspaper,2017,Dogs are better
1047,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Beagle,Scenthounds,TRUE,,1,North America,USA,,Errico 2012,conference proceedings,2012,No comparison
1048,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",FALSE,,2,North America,USA,,Errico 2012,conference proceedings,2012,No comparison
1485,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,2,Europe,Switzerland,,Forster&Wermelinger 2012,scientific paper,2012,No comparison
372,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,2,Europe,Switzerland,,Hagemeier 2016,popular science webpage,2016,Dogs are better
370,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Australian Cattle Dog,Sheepdogs and Cattledogs,TRUE,,2,Europe,Switzerland,,Holderegger Walser 2015,popular science magazine,2015,Dogs are better
1231,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",German Wire-Haired Pointer,Pointers and Setters,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1235,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,3,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1234,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Austrian Black and Tan Hound,Scenthounds,TRUE,,3,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1232,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Australian Shepherd,Sheepdogs and Cattledogs,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1233,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Lagotto Romagnolo,"Retrievers, Flushing dogs, Water dogs",TRUE,,3,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1241,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Small Blue Gascony,Scenthounds,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1236,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Tyrolean Hound,Scenthounds,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1237,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Small Münsterländer,Pointers and Setters,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1238,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",German Short-Haired Pointer,Pointers and Setters,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1239,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Border Collie,Sheepdogs and Cattledogs,TRUE,,2,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
1240,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Mix,not classified,FALSE,,1,Europe,Austria,,Hoyer-Tomiczek et al. 2016,scientific paper,2016,No comparison
2346,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,6,Europe,Austria,Vienna,Hoyer-Tomiczek&Hoch 2020,scientific paper,2020,No comparison
1081,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Beagle,Scenthounds,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek&Sauseng 2009,popular science magazine,2009,No comparison
1082,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Pointing dog undetermined,Pointers and Setters,FALSE,,1,Europe,Austria,,Hoyer-Tomiczek&Sauseng 2009,popular science magazine,2009,No comparison
1083,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Austrian Black and Tan Hound,Scenthounds,TRUE,,1,Europe,Austria,,Hoyer-Tomiczek&Sauseng 2009,popular science magazine,2009,No comparison
364,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,3,Europe,Austria,,Hoyer-Tomiczek&Sauseng 2010a,popular science magazine,2010,Dogs are better
411,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Hound undetermined,Scenthounds,FALSE,,3,Europe,Austria,,Hoyer-Tomiczek&Sauseng 2010b,popular science magazine,2010,Dogs are better
1846,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,2,Europe,Germany,,Jensen 2017,conference proceedings,2017,No comparison
1146,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Beagle,Scenthounds,TRUE,,1,Europe,Germany,,LV Schleswig-Holstein BdB 2013,popular science magazine,2013,No comparison
1148,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",French Spaniel,Pointers and Setters,TRUE,,1,Europe,Germany,,LV Schleswig-Holstein BdB 2013,popular science magazine,2013,No comparison
1050,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Spinone Italiano,Pointers and Setters,TRUE,,1,Europe,Germany,,Marwede 2017,popular science magazine,2017,No comparison
1049,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",French Spaniel,Pointers and Setters,TRUE,,1,Europe,Germany,,Marwede 2017,popular science magazine,2017,No comparison
1171,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Dutch Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,Europe,Switzerland,,Sauerwein 2016,newspaper,2016,No comparison
1173,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Malinois,Sheepdogs and Cattledogs,TRUE,,1,Europe,Switzerland,,Sauerwein 2016,newspaper,2016,No comparison
1172,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Australian Cattle Dog,Sheepdogs and Cattledogs,TRUE,,2,Europe,Switzerland,,Sauerwein 2016,newspaper,2016,No comparison
596,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,3,Europe,Switzerland,,Sauerwein 2016,newspaper,2016,Dogs are better
2375,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Australian Cattle Dog,Sheepdogs and Cattledogs,TRUE,,3,Europe,Switzerland,Airsdorf,Spielmann 2020,newspaper,2020,No comparison
2241,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Asian longhorn beetle,Anoplophora glabripennis,,"living individuals, eggs and scat/saliva",Beagle,Scenthounds,TRUE,,1,North America,USA,,Warfield 2011,popular science webpage,2011,No comparison
1057,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Tetropium,Brown spruce longhorn beetle,Tetropium fuscum,,living individuals,English Shepherd,not classified,FALSE,,1,North America,Canada,,Hoffman 2014,scientific paper,2014,No comparison
1056,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Tetropium,Brown spruce longhorn beetle,Tetropium fuscum,,living individuals,Border Collie,Sheepdogs and Cattledogs,TRUE,,2,North America,Canada,,Hoffman 2014,scientific paper,2014,No comparison
1428,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,Pepper weevil,Anthonomus eugenii,,living individuals,Belgian Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,Canada,Leamington,Nature Fresh  2017,popular science webpage,2017,No comparison
1960,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ips,Spruce bark beetle,Ips typographus,,living individuals,Malinois,Sheepdogs and Cattledogs,TRUE,,1,Europe,Czech Republic,,Hlánsy et al. 2019,scientific paper,2019,No comparison
2104,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ips,Spruce bark beetle,Ips typographus,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,2,Europe,Sweden,,Johansson 2011,scientific paper,2011,No comparison
2105,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ips,Spruce bark beetle,Ips typographus,,"living individuals, eggs and scat/saliva",Breed not mentioned,not classified,FALSE,,8,Europe,Sweden,,Johansson 2013,scientific paper,2013,Dogs are better
1779,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ips,Spruce bark beetle,Ips typographus,,living individuals,Malinois,Sheepdogs and Cattledogs,TRUE,,1,Europe,Sweden,,Johansson et al. 2019,scientific paper,2019,No comparison
1778,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ips,Spruce bark beetle,Ips typographus,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,Europe,Sweden,,Johansson et al. 2019,scientific paper,2019,No comparison
41,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ips,Spruce bark beetle,Ips typographus,,living individuals,Breed not mentioned,not classified,FALSE,,2,Europe,Sweden,,Kelley 2013,popular science magazine,2013,Dogs are better
